Step | Stack                                             | Input               | Action
-----|---------------------------------------------------|---------------------|-------------------------
1    | $ E                                               | id + $              | Gen E -> T E'
2    | $ E' T                                            | id + $              | Gen T -> F T'
3    | $ E' T' F                                         | id + $              | Gen F -> id
4    | $ E' T' id                                        | + $                 | Match id
5    | $ E' T'                                           | + $                 | Gen T' -> epsilon
6    | $ E'                                              | + $                 | Gen E' -> + T E'
7    | $ E' T +                                          | $                   | Match +
8    | $ E' T                                            | $                   | ERROR: No production for M[T, $]	
9    | $ E'                                              | $                   | Gen E' -> epsilon
10   | $                                                 | $                   | Accept

